id,availability,balcony_area,bath_area,bath_full_area,bath_half_area,bedroom_area,building,category,cellar_area,cellar_included,cellar_price_per_sm,city,completed,corridor_area,currency,date_added,date_added_numeric,date_construction_completion,date_reserved,date_reserved_numeric,date_sale_completion,date_sold,date_sold_numeric,developer,dining_area,DOM,energy_efficiency,entity_buyer,entry_area,equipment,exterior_area,first_seen,floor,floor_area,garden_area,internal_buyer,kitchen_area,layout,lee,living_area,living_room_area,orientation,parking_included,parking_indoor_price,parking_outdoor_price,payment_construction,payment_contract,payment_occupancy,permit_regular,phase,price,price_real,stairs_area,storage_area,terrace_area,wardrobe_area,months_till_completed,price_per_sm,price_per_sm_real,total_area,building_id,developer_id,project_id,files,images,bath_count,last_seen,garages,baths
151342,AVAILABLE,"{0.00,0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00,0.00,0.00,0.00}",,,,False,0.0,Random City,False,0.0,,,0.0,,,0.0,,,0.0,Developer 3,{0.00},551.0,,False,{0.00},,{8.53},9/22/2022,3.0,55.56,{0.00},False,{0.00},LAYOUT_2,0.0,{0.00},{0.00},,False,0.0,0.0,0.0,0.0,0.0,False,,244000.0,0.0,{0.00},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",0.0,4391.65,0.0,64.09,0.0,539.0,724.0,,,,3/25/2024,,
291269,AVAILABLE,"{0.00,0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00,0.00,0.00,0.00}",B,,,False,0.0,Random City,False,0.0,,,0.0,,,0.0,,,0.0,Developer 1,{0.00},1.0,,False,{0.00},,{15.42},3/25/2024,3.0,81.29,{0.00},False,{0.00},LAYOUT_3,0.0,{0.00},{0.00},,False,0.0,0.0,0.0,0.0,0.0,False,,315900.0,0.0,{0.00},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",0.0,3886.09,0.0,96.71,,2212.0,4225.0,,,,3/25/2024,,
291270,AVAILABLE,"{0.00,0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00,0.00,0.00,0.00}",A,,,False,0.0,Random City,False,0.0,,,0.0,,,0.0,,,0.0,Developer 1,{0.00},1.0,,False,{0.00},,{58.41},3/25/2024,5.0,46.94,{0.00},False,{0.00},LAYOUT_2,0.0,{0.00},{0.00},,False,0.0,0.0,0.0,0.0,0.0,False,,249900.0,0.0,{0.00},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",0.0,5323.82,0.0,105.35,,2212.0,4225.0,,,,3/25/2024,,
291271,AVAILABLE,"{0.00,0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00,0.00,0.00,0.00}",B,,,False,0.0,Random City,False,0.0,,,0.0,,,0.0,,,0.0,Developer 1,{0.00},1.0,,False,{0.00},,{15.24},3/25/2024,3.0,81.29,{0.00},False,{0.00},LAYOUT_4,0.0,{0.00},{0.00},,False,0.0,0.0,0.0,0.0,0.0,False,,315900.0,0.0,{0.00},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",0.0,3886.09,0.0,96.53,,2212.0,4225.0,,,,3/25/2024,,
151568,AVAILABLE,"{0.00,0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00,0.00,0.00,0.00}",,,,False,0.0,Random City,False,0.0,,,0.0,,,0.0,,,0.0,Developer 4,{0.00},551.0,,False,{0.00},,{46.30},9/22/2022,8.0,148.3,{0.00},False,{0.00},LAYOUT_4,0.0,{0.00},{0.00},,False,0.0,0.0,0.0,0.0,0.0,False,,849900.0,0.0,{0.00},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",0.0,5730.95,0.0,194.6,0.0,540.0,725.0,,,,3/25/2024,,
151490,AVAILABLE,"{0.00,0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00,0.00,0.00,0.00}",,,,False,0.0,Random City,False,0.0,,,0.0,,,0.0,,,0.0,Developer 4,{0.00},551.0,,False,{0.00},,{32.50},9/22/2022,7.0,77.6,{0.00},False,{0.00},LAYOUT_3,0.0,{0.00},{0.00},,False,0.0,0.0,0.0,0.0,0.0,False,,405000.0,0.0,{0.00},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",0.0,5219.07,0.0,110.1,0.0,540.0,725.0,,,,3/25/2024,,
291272,AVAILABLE,"{0.00,0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00,0.00,0.00,0.00}",B,,,False,0.0,Random City,False,0.0,,,0.0,,,0.0,,,0.0,Developer 1,{0.00},1.0,,False,{0.00},,{60.44},3/25/2024,1.0,90.13,{0.00},False,{0.00},LAYOUT_4,0.0,{0.00},{0.00},,False,0.0,0.0,0.0,0.0,0.0,False,,363900.0,0.0,{0.00},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",0.0,4037.5,0.0,150.57,,2212.0,4225.0,,,,3/25/2024,,
291273,AVAILABLE,"{0.00,0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00,0.00,0.00,0.00}",B,,,False,0.0,Random City,False,0.0,,,0.0,,,0.0,,,0.0,Developer 1,{0.00},1.0,,False,{0.00},,{11.61},3/25/2024,3.0,42.11,{0.00},False,{0.00},LAYOUT_2,0.0,{0.00},{0.00},,False,0.0,0.0,0.0,0.0,0.0,False,,196900.0,0.0,{0.00},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",0.0,4675.85,0.0,53.72,,2212.0,4225.0,,,,3/25/2024,,
291274,AVAILABLE,"{0.00,0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00,0.00,0.00,0.00}",B,,,False,0.0,Random City,False,0.0,,,0.0,,,0.0,,,0.0,Developer 1,{0.00},1.0,,False,{0.00},,{60.44},3/25/2024,1.0,89.93,{0.00},False,{0.00},LAYOUT_5,0.0,{0.00},{0.00},,False,0.0,0.0,0.0,0.0,0.0,False,,363900.0,0.0,{0.00},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",0.0,4046.48,0.0,150.27,,2212.0,4225.0,,,,3/25/2024,,
291275,AVAILABLE,"{0.00,0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00,0.00,0.00,0.00}",B,,,False,0.0,Random City,False,0.0,,,0.0,,,0.0,,,0.0,Developer 1,{0.00},1.0,,False,{0.00},,{13.15},3/25/2024,3.0,82.16,{0.00},False,{0.00},LAYOUT_3,0.0,{0.00},{0.00},,False,0.0,0.0,0.0,0.0,0.0,False,,316900.0,0.0,{0.00},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",0.0,3857.11,0.0,95.31,,2212.0,4225.0,,,,3/25/2024,,
238534,AVAILABLE,"{0.00,0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00,0.00,0.00,0.00}",K,,,False,0.0,Random City,False,0.0,,,0.0,,,0.0,,,0.0,Developer 5,{0.00},551.0,,False,{0.00},,{2.80},9/22/2022,5.0,31.2,{0.00},False,{0.00},LAYOUT_1,0.0,{0.00},{0.00},,False,0.0,0.0,0.0,0.0,0.0,False,,128760.0,0.0,{0.00},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",0.0,4126.92,0.0,34.0,,538.0,3359.0,,,,3/25/2024,,
252850,RESERVED,"{0.00,0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00,0.00,0.00,0.00}",B,,,False,0.0,Random City,False,0.0,,,0.0,,,0.0,,,0.0,Developer 6,{0.00},115.0,,False,{0.00},,{14.53},12/2/2023,4.0,81.32,{0.00},False,{0.00},LAYOUT_3,0.0,{0.00},{0.00},,False,0.0,0.0,0.0,0.0,0.0,False,,,0.0,{0.00},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",0.0,0.0,0.0,95.85,,535.0,3153.0,,,,3/25/2024,,
291276,AVAILABLE,"{0.00,0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00,0.00,0.00,0.00}",B,,,False,0.0,Random City,False,0.0,,,0.0,,,0.0,,,0.0,Developer 1,{0.00},1.0,,False,{0.00},,{13.15},3/25/2024,3.0,81.29,{0.00},False,{0.00},LAYOUT_4,0.0,{0.00},{0.00},,False,0.0,0.0,0.0,0.0,0.0,False,,316900.0,0.0,{0.00},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",0.0,3898.39,0.0,94.44,,2212.0,4225.0,,,,3/25/2024,,
291277,AVAILABLE,"{0.00,0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00,0.00,0.00,0.00}",B,,,False,0.0,Random City,False,0.0,,,0.0,,,0.0,,,0.0,Developer 1,{0.00},1.0,,False,{0.00},,{17.68},3/25/2024,1.0,24.39,{0.00},False,{0.00},LAYOUT_1,0.0,{0.00},{0.00},,False,0.0,0.0,0.0,0.0,0.0,False,,133900.0,0.0,{0.00},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",0.0,5489.95,0.0,42.07,,2212.0,4225.0,,,,3/25/2024,,
291278,AVAILABLE,"{0.00,0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00,0.00,0.00,0.00}",E,,,False,0.0,Random City,False,0.0,,,0.0,,,0.0,,,0.0,Developer 1,{0.00},1.0,,False,{0.00},,{8.46},3/25/2024,4.0,36.04,{0.00},False,{0.00},LAYOUT_2,0.0,{0.00},{0.00},,False,0.0,0.0,0.0,0.0,0.0,False,,171900.0,0.0,{0.00},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",0.0,4769.7,0.0,44.5,,2212.0,4225.0,,,,3/25/2024,,
291279,AVAILABLE,"{0.00,0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00,0.00,0.00,0.00}",B,,,False,0.0,Random City,False,0.0,,,0.0,,,0.0,,,0.0,Developer 1,{0.00},1.0,,False,{0.00},,{59.12},3/25/2024,1.0,91.0,{0.00},False,{0.00},LAYOUT_4,0.0,{0.00},{0.00},,False,0.0,0.0,0.0,0.0,0.0,False,,365900.0,0.0,{0.00},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",0.0,4020.88,0.0,150.12,,2212.0,4225.0,,,,3/25/2024,,
291280,AVAILABLE,"{0.00,0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00,0.00,0.00,0.00}",B,,,False,0.0,Random City,False,0.0,,,0.0,,,0.0,,,0.0,Developer 1,{0.00},1.0,,False,{0.00},,{15.42},3/25/2024,4.0,81.29,{0.00},False,{0.00},LAYOUT_3,0.0,{0.00},{0.00},,False,0.0,0.0,0.0,0.0,0.0,False,,318900.0,0.0,{0.00},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",0.0,3922.99,0.0,96.71,,2212.0,4225.0,,,,3/25/2024,,
291281,AVAILABLE,"{0.00,0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00,0.00,0.00,0.00}",E,,,False,0.0,Random City,False,0.0,,,0.0,,,0.0,,,0.0,Developer 1,{0.00},1.0,,False,{0.00},,{13.08},3/25/2024,4.0,65.04,{0.00},False,{0.00},LAYOUT_3,0.0,{0.00},{0.00},,False,0.0,0.0,0.0,0.0,0.0,False,,262900.0,0.0,{0.00},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",0.0,4042.13,0.0,78.12,,2212.0,4225.0,,,,3/25/2024,,
154276,AVAILABLE,"{0.00,0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00,0.00,0.00,0.00}",,,,False,0.0,Random City,False,0.0,,,0.0,,,0.0,,,0.0,Developer 7,{0.00},532.0,,False,{0.00},,{3.60},10/11/2022,5.0,47.4,{0.00},False,{0.00},LAYOUT_2,0.0,{0.00},{0.00},,False,0.0,0.0,0.0,0.0,0.0,False,,163072.0,0.0,{0.00},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",0.0,3440.34,0.0,55.4,0.0,548.0,734.0,,,,3/25/2024,,
291282,AVAILABLE,"{0.00,0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00,0.00,0.00,0.00}",B,,,False,0.0,Random City,False,0.0,,,0.0,,,0.0,,,0.0,Developer 1,{0.00},1.0,,False,{0.00},,{59.12},3/25/2024,1.0,90.64,{0.00},False,{0.00},LAYOUT_5,0.0,{0.00},{0.00},,False,0.0,0.0,0.0,0.0,0.0,False,,365900.0,0.0,{0.00},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",0.0,4036.85,0.0,149.76,,2212.0,4225.0,,,,3/25/2024,,
291283,AVAILABLE,"{0.00,0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00,0.00,0.00,0.00}",E,,,False,0.0,Random City,False,0.0,,,0.0,,,0.0,,,0.0,Developer 1,{0.00},1.0,,False,{0.00},,{53.64},3/25/2024,5.0,43.56,{0.00},False,{0.00},LAYOUT_2,0.0,{0.00},{0.00},,False,0.0,0.0,0.0,0.0,0.0,False,,249900.0,0.0,{0.00},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",0.0,5736.91,0.0,97.2,,2212.0,4225.0,,,,3/25/2024,,
154284,AVAILABLE,"{0.00,0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00,0.00,0.00,0.00}",,,,False,0.0,Random City,False,0.0,,,0.0,,,0.0,,,0.0,Developer 7,{0.00},532.0,,False,{0.00},,{3.60},10/11/2022,7.0,47.5,{0.00},False,{0.00},LAYOUT_2,0.0,{0.00},{0.00},,False,0.0,0.0,0.0,0.0,0.0,False,,170688.0,0.0,{0.00},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",0.0,3593.43,0.0,54.7,0.0,548.0,734.0,,,,3/25/2024,,
291284,AVAILABLE,"{0.00,0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00,0.00,0.00,0.00}",E,,,False,0.0,Random City,False,0.0,,,0.0,,,0.0,,,0.0,Developer 1,{0.00},1.0,,False,{0.00},,{53.64},3/25/2024,5.0,46.23,{0.00},False,{0.00},LAYOUT_2,0.0,{0.00},{0.00},,False,0.0,0.0,0.0,0.0,0.0,False,,259900.0,0.0,{0.00},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",0.0,5621.89,0.0,99.87,,2212.0,4225.0,,,,3/25/2024,,
291285,AVAILABLE,"{0.00,0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00,0.00,0.00,0.00}",B,,,False,0.0,Random City,False,0.0,,,0.0,,,0.0,,,0.0,Developer 1,{0.00},1.0,,False,{0.00},,{17.22},3/25/2024,2.0,89.93,{0.00},False,{0.00},LAYOUT_4,0.0,{0.00},{0.00},,False,0.0,0.0,0.0,0.0,0.0,False,,335900.0,0.0,{0.00},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",0.0,3735.13,0.0,107.15,,2212.0,4225.0,,,,3/25/2024,,
291286,AVAILABLE,"{0.00,0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00,0.00,0.00,0.00}",C,,,False,0.0,Random City,False,0.0,,,0.0,,,0.0,,,0.0,Developer 1,{0.00},1.0,,False,{0.00},,{15.70},3/25/2024,2.0,90.7,{0.00},False,{0.00},LAYOUT_5,0.0,{0.00},{0.00},,False,0.0,0.0,0.0,0.0,0.0,False,,336900.0,0.0,{0.00},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",0.0,3714.44,0.0,106.4,,2212.0,4225.0,,,,3/25/2024,,
151834,AVAILABLE,"{0.00,0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00}","{0.00,0.00,0.00,0.00,0.00}",,,,False,0.0,Random City,False,0.0,,,0.0,,,0.0,,,0.0,Developer 7,{0.00},551.0,,False,{0.00},,{3.60},9/22/2022,7.0,47.6,{0.00},False,{0.00},LAYOUT_2,0.0,{0.00},{0.00},,False,0.0,0.0,0.0,0.0,0.0,False,,172462.0,0.0,{0.00},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",0.0,3623.15,0.0,55.4,0.0,548.0,734.0,,,,3/25/2024,,
